City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
1,Balkanabat,TM,86.85,clear sky,39.5108,54.3671,Nebitchi Hotel
2,Bethel,US,76.06,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
3,Thompson,CA,77.16,broken clouds,55.7435,-97.8558,Burntwood Hotel
5,Gusau,NG,81.32,scattered clouds,12.1628,6.6614,GUEST INN
8,Bani,DO,85.44,few clouds,18.2833,-70.3333,Hospedaje Henriquez
16,Mahibadhoo,MV,83.26,overcast clouds,3.7833,72.9667,Omadhoo Inn
24,Sibu,MY,77.31,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
30,Tautira,PF,82.42,light rain,-17.7333,-149.15,Pension Oaoa
31,Hilo,US,84.27,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
34,Vaini,TO,78.96,broken clouds,-21.2,-175.2,Keleti Beach Resort
36,Catuday,PH,81.36,broken clouds,16.2923,119.8062,GResort
37,Vila Praia De Ancora,PT,79.66,broken clouds,41.811,-8.8526,Hotel Meira
38,Aswan,EG,82.74,clear sky,24.0934,32.907,Nuba Nile
40,Kapaa,US,82.72,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
42,Hailey,US,80.46,clear sky,43.5196,-114.3153,Wood River Inn & Suites
48,Kahului,US,85.96,few clouds,20.8947,-156.47,Maui Seaside Hotel
52,Atuona,PF,79.21,light rain,-9.8,-139.0333,Villa Enata
53,Owando,CG,75.11,broken clouds,-0.4819,15.8999,Exaunel Hotel Owando
56,Kavieng,PG,83.35,light rain,-2.5744,150.7967,Nusa Island Retreat
60,Hithadhoo,MV,82.81,broken clouds,-0.6,73.0833,Scoop Guest House
61,Champerico,GT,84.34,broken clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
62,Srivardhan,IN,80.64,overcast clouds,18.0333,73.0167,Savli Resort/Hotel - Shrivardhan
65,Popondetta,PG,81.41,overcast clouds,-8.7537,148.2534,Timos Transit House
67,Avarua,CK,78.85,light rain,-21.2078,-159.775,Paradise Inn
68,Kirakira,SB,84.58,scattered clouds,-10.4544,161.9205,SanBiz Lodge
71,Mitsamiouli,KM,75.45,scattered clouds,-11.3847,43.2844,Foyer ADM
78,Pangai,TO,80.71,few clouds,-19.8,-174.35,Ha'apai Beach Resort
83,Jiangkou,CN,82.29,overcast clouds,25.4872,119.1986,DFM Hotel
87,Georgetown,MY,78.73,few clouds,5.4112,100.3354,Cititel Penang
94,Jacksonville Beach,US,76.01,light rain,30.2947,-81.3931,Courtyard by Marriott Jacksonville Beach Oceanfront
103,Calabozo,VE,79.93,broken clouds,8.9242,-67.4293,Hotel Giardini
107,Jalu,LY,77.14,clear sky,29.0331,21.5482,صاحبة الفخامة
109,Salalah,OM,84.29,clear sky,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
116,Itarema,BR,78.94,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
119,Victoria,HK,88.97,overcast clouds,22.2855,114.1577,Mini Hotel Central
123,Aklavik,CA,79.63,few clouds,68.2191,-135.0107,Aklavik Inn
133,Jacqueville,CI,80.51,overcast clouds,5.2052,-4.4146,Hotel Le Martin Pecheur
135,Butaritari,KI,83.17,light rain,3.0707,172.7902,Isles Sunset Lodge
137,Ko Samui,TH,83.97,overcast clouds,9.5357,99.9357,"The Passage Samui Villas & Resort, Thailand"
141,North Myrtle Beach,US,78.85,clear sky,33.816,-78.68,Avista Resort
