City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Grand Gaube,MU,-20.0064,57.6608,69.39,77,0,1.99,clear sky
1,Balkanabat,TM,39.5108,54.3671,86.85,9,0,10.6,clear sky
2,Bethel,US,41.3712,-73.414,76.06,64,1,1.01,clear sky
3,Thompson,CA,55.7435,-97.8558,77.16,36,75,6.91,broken clouds
4,Cape Town,ZA,-33.9258,18.4232,58.12,88,0,4.61,clear sky
5,Gusau,NG,12.1628,6.6614,81.32,58,43,13.09,scattered clouds
6,Severo-Kurilsk,RU,50.6789,156.125,48.49,76,85,7.87,overcast clouds
7,Calatayud,ES,41.3535,-1.6432,73.98,63,96,4.41,overcast clouds
8,Bani,DO,18.2833,-70.3333,85.44,70,13,9.95,few clouds
9,Tortoli,IT,39.9256,9.6572,70.99,78,0,10.36,clear sky
10,Bardiyah,LY,31.7561,25.0865,70.88,70,0,10.6,clear sky
11,Albany,US,42.6001,-73.9662,69.75,73,32,3.0,scattered clouds
12,Kenora,CA,49.8167,-94.4337,74.37,43,40,3.44,scattered clouds
13,Norman Wells,CA,65.282,-126.8329,69.84,40,20,13.8,few clouds
14,Port Elizabeth,ZA,-33.918,25.5701,64.09,88,0,1.14,clear sky
15,New Norfolk,AU,-42.7826,147.0587,48.76,89,96,1.16,light rain
16,Mahibadhoo,MV,3.7833,72.9667,83.26,69,100,14.56,overcast clouds
17,Saint George,US,37.1041,-113.5841,112.62,8,1,8.01,clear sky
18,San Quintin,MX,30.4833,-115.95,72.43,68,100,7.65,overcast clouds
19,Avera,US,33.194,-82.5271,93.52,34,18,14.38,few clouds
20,Jamestown,US,42.097,-79.2353,69.39,34,1,5.75,clear sky
21,Busselton,AU,-33.65,115.3333,56.59,76,84,6.51,broken clouds
22,Provideniya,RU,64.3833,-173.3,41.11,75,14,8.95,fog
23,Krasnoselkup,RU,65.7,82.4667,62.1,90,98,10.78,light rain
24,Sibu,MY,2.3,111.8167,77.31,94,40,0.0,scattered clouds
25,Khuzhir,RU,53.1939,107.3397,41.63,94,97,8.95,light rain
26,Ribeira Grande,PT,38.5167,-28.7,69.39,89,100,7.18,overcast clouds
27,San Rafael,AR,-34.6177,-68.3301,43.07,33,100,6.82,light rain
28,Humaita,BR,-7.5061,-63.0208,74.43,88,65,1.25,broken clouds
29,Kaitangata,NZ,-46.2817,169.8464,49.62,96,100,6.06,overcast clouds
30,Tautira,PF,-17.7333,-149.15,82.42,80,87,21.7,light rain
31,Hilo,US,19.7297,-155.09,84.27,55,20,8.05,few clouds
32,Bredasdorp,ZA,-34.5322,20.0403,51.12,87,25,3.44,scattered clouds
33,Hwange,ZW,-18.3693,26.5019,55.72,65,30,1.23,scattered clouds
34,Vaini,TO,-21.2,-175.2,78.96,83,75,10.36,broken clouds
35,Tuatapere,NZ,-46.1333,167.6833,48.81,95,100,1.88,overcast clouds
36,Catuday,PH,16.2923,119.8062,81.36,79,75,11.45,broken clouds
37,Vila Praia De Ancora,PT,41.811,-8.8526,79.66,82,71,4.54,broken clouds
38,Aswan,EG,24.0934,32.907,82.74,20,0,14.47,clear sky
39,Rikitea,PF,-23.1203,-134.9692,74.95,79,27,10.07,light rain
40,Kapaa,US,22.0752,-159.319,82.72,77,40,4.0,scattered clouds
41,Kushiro,JP,42.975,144.3747,52.75,87,75,2.3,broken clouds
42,Hailey,US,43.5196,-114.3153,80.46,22,1,8.05,clear sky
43,Punta Arenas,CL,-53.15,-70.9167,37.51,87,0,11.5,clear sky
44,Ziarat,PK,30.3823,67.7282,58.5,40,0,1.41,clear sky
45,Fort Nelson,CA,58.8053,-122.7002,58.59,77,90,10.36,light rain
