City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
0,Saskylakh,RU,71.9167,114.0833,53.51,74,59,6.71,broken clouds
1,Rikitea,PF,-23.1203,-134.9692,74.55,78,32,11.18,light rain
2,Tasiilaq,GL,65.6145,-37.6368,42.96,81,52,1.28,broken clouds
3,Tilichiki,RU,60.4667,166.1,46.67,68,31,3.6,scattered clouds
4,Ushuaia,AR,-54.8,-68.3,37.02,81,100,4.74,overcast clouds
5,Bethel,US,41.3712,-73.414,79.16,64,75,4.0,broken clouds
6,Saint-Philippe,RE,-21.3585,55.7679,69.39,82,14,7.9,few clouds
7,Barrow,US,71.2906,-156.7887,44.62,93,90,12.66,overcast clouds
8,Avarua,CK,-21.2078,-159.775,69.85,100,90,24.16,light rain
9,Sona,IT,45.4388,10.8255,85.59,39,0,3.44,clear sky
10,Valparaiso,CL,-33.0393,-71.6273,60.44,67,75,12.66,broken clouds
11,Zunyi,CN,27.6867,106.9072,71.82,94,93,2.93,overcast clouds
12,Punta Arenas,CL,-53.15,-70.9167,39.31,87,0,3.44,clear sky
13,Mataura,NZ,-46.1927,168.8643,46.47,99,100,2.39,overcast clouds
14,Cidreira,BR,-30.1811,-50.2056,60.44,79,59,12.66,broken clouds
15,Jamestown,US,42.097,-79.2353,70.09,51,1,8.01,clear sky
16,Muravlenko,RU,63.7898,74.523,63.93,81,67,7.9,light rain
17,Arraial Do Cabo,BR,-22.9661,-42.0278,73.26,56,20,10.36,few clouds
18,Oranjemund,NA,-28.55,16.4333,59.56,82,40,3.71,scattered clouds
19,Albany,US,42.6001,-73.9662,74.26,70,56,1.01,broken clouds
20,Fort Nelson,CA,58.8053,-122.7002,59.88,73,97,9.4,overcast clouds
21,Qaanaaq,GL,77.484,-69.3632,37.27,92,100,2.21,overcast clouds
22,Charleston,US,32.7766,-79.9309,92.1,66,40,5.01,scattered clouds
23,Hobart,AU,-42.8794,147.3294,47.12,95,40,5.75,scattered clouds
24,Zhicheng,CN,30.2956,111.5047,80.58,89,100,3.58,light rain
25,Mackay,AU,-21.15,149.2,69.04,91,80,3.98,broken clouds
26,Atuona,PF,-9.8,-139.0333,78.15,80,33,19.3,light rain
27,Nioro,GM,13.35,-15.75,96.08,36,100,4.54,overcast clouds
28,Bredasdorp,ZA,-34.5322,20.0403,56.28,81,19,2.21,few clouds
29,Leningradskiy,RU,69.3833,178.4167,36.68,92,78,2.55,broken clouds
30,Ponta Do Sol,PT,32.6667,-17.1,77.0,68,56,7.11,broken clouds
31,Mar Del Plata,AR,-38.0023,-57.5575,51.01,79,20,11.01,few clouds
32,Bengkulu,ID,-3.8004,102.2655,76.87,90,99,4.92,overcast clouds
33,Hamilton,US,39.1834,-84.5333,79.99,48,40,5.01,scattered clouds
34,Busselton,AU,-33.65,115.3333,51.04,72,100,5.59,overcast clouds
35,Kapaa,US,22.0752,-159.319,77.32,76,20,11.5,few clouds
36,Ossora,RU,59.2353,163.0719,49.64,60,85,10.58,overcast clouds
37,Atar,MR,20.5169,-13.0499,112.64,7,64,11.97,broken clouds
